--step: 100
--average rotloss: 1.1645513304642268
--average curloss: 0.8688006060464042
--average rsmloss: 1.4825816771813802
--average safeloss: 13.415183910301753
--average anchors: 1.7813662950481688
--step: 7100
--average loss: 23.8741865668978
--average arcloss: 0.2340455889435751
--average holloss: 1.7783163711428642
--average uniloss: 0.15249772582735335
--average posloss: 3.536253822701318
--average rotloss: 1.1738918061767305
--average curloss: 0.850197296589613
--average rsmloss: 1.504549577832222
--average safeloss: 12.843273861067635
--average anchors: 1.8011605441570282
--step: 7200
--average loss: 24.119997484343394
--average arcloss: 0.22933830520404236
--average holloss: 1.8858216660363334
--average uniloss: 0.15429264599723475
--average posloss: 3.4770754831177846
--average rotloss: 1.1789940286959921
--average curloss: 0.8716585274253573
--average rsmloss: 1.4884804614952631
--average safeloss: 13.022096591336387
--average anchors: 1.8122399704796928
--step: 7300
--average loss: 23.695553881781443
--average arcloss: 0.22163953512374843
--average holloss: 1.836500275347914
--average uniloss: 0.15527124277182988
--average posloss: 3.2134124551500594
--average rotloss: 1.1424071799431528
--average curloss: 0.884875803653683
--average rsmloss: 1.455159870641572
--average safeloss: 13.053445816040039
--average anchors: 1.7328416130372457
--step: 7400
--average loss: 24.56051685128893
--average arcloss: 0.23418557218142919
--average holloss: 1.8986350170203619
--average uniloss: 0.1567277746008975
--average posloss: 3.3847493401595523
--average rotloss: 1.1632022165826388
--average curloss: 0.9034941888281277
--average rsmloss: 1.4540805497339793
--average safeloss: 13.603427640029363
--average anchors: 1.7620146466153008
--step: 7500
--average loss: 24.269392371177673
--average arcloss: 0.23327590365495002
--average holloss: 1.8728712499141693
--average uniloss: 0.15616815404168197
--average posloss: 3.4355002343654633
--average rotloss: 1.1762500235012598
--average curloss: 0.9225870530520167
--average rsmloss: 1.477874898484775
--average safeloss: 13.19129570892879
--average anchors: 1.803569263645581
--step: 7600
--average loss: 23.89321071760995
--average arcloss: 0.23535498045384884
--average holloss: 1.7864845682467734
--average uniloss: 0.1538529587643487
--average posloss: 3.3939098779644286
--average rotloss: 1.1674066515905517
--average curloss: 0.8797389785093921
--average rsmloss: 1.4303305872849055
--average safeloss: 13.079114420073372
--average anchors: 1.7670176114354814
--step: 7700
--average loss: 24.68707925932748
--average arcloss: 0.24578133252050197
--average holloss: 1.8905199649078506
--average uniloss: 0.15368485610399926
--average posloss: 3.3302174572433745
--average rotloss: 1.1689353063702583
--average curloss: 0.9068244025111198
--average rsmloss: 1.4575805131878172
--average safeloss: 13.78924491575786
--average anchors: 1.744290407214846
--step: 7800
--average loss: 23.85866435936519
--average arcloss: 0.24400869943201542
--average holloss: 1.7446032145193644
--average uniloss: 0.1516517430011715
--average posloss: 3.2936073413916995
--average rotloss: 1.1545549663049834
--average curloss: 0.880323264747858
--average rsmloss: 1.4352215656212397
--average safeloss: 13.250945338181086
--average anchors: 1.7037483581474848
--step: 7900
--average loss: 23.67230270590101
--average arcloss: 0.24042189892913615
--average holloss: 1.7162244798881667
--average uniloss: 0.1526750142553023
--average posloss: 3.437276173915182
--average rotloss: 1.1850224073444093
--average curloss: 0.8935061991214752
--average rsmloss: 1.4400013067892619
--average safeloss: 12.803543133395058
--average anchors: 1.8036321720906667
--step: 8000
--average loss: 23.31166183948517
--average arcloss: 0.2298695370554924
--average holloss: 1.857368643794741
--average uniloss: 0.15167793764599732
--average posloss: 3.323555765407426
--average rotloss: 1.1725364455154963
--average curloss: 0.9268255819167409
--average rsmloss: 1.4481992168085915
--average safeloss: 12.425806215831212
--average anchors: 1.7758225266422545
--step: 8100
--average loss: 23.5417126928057
--average arcloss: 0.22728296502360276
--average holloss: 1.9418512348617827
--average uniloss: 0.15403418163103716
--average posloss: 3.3813816756010056
--average rotloss: 1.1784050996814455
--average curloss: 0.9483941846660205
--average rsmloss: 1.460139593907765
--average safeloss: 12.46645233460835
--average anchors: 1.7837715659822737
--step: 8200
--average loss: 23.866963386535645
--average arcloss: 0.20842101185449532
--average holloss: 1.8415850454143115
--average uniloss: 0.15089095437100955
--average posloss: 3.3422339068991795
--average rotloss: 1.1700627952814102
--average curloss: 0.9128167352506092
--average rsmloss: 1.4361471661499567
--average safeloss: 13.03996557848794
--average anchors: 1.7648401813847678
--step: 8300
--average loss: 23.788299833025253
--average arcloss: 0.2137200695329479
--average holloss: 1.8963224600468362
--average uniloss: 0.15240789550755704
--average posloss: 3.3882377041237697
--average rotloss: 1.1712313698870795
--average curloss: 0.9294548173035894
--average rsmloss: 1.4540878470454897
--average safeloss: 12.814335431371417
--average anchors: 1.768502218382699
